transaction_id,region,country,product,customer,sales_rep,transaction_date,timestamp,quantity,unit_price,total_amount,order_status,payment_method,product_details,customer_info
TXN_000013,Asia,India,Clothing,Cynthia Wheeler,Christopher Li,10-02-2021,27-02-2025 03:04,10,934.81,9348.1,Pending,Credit Card,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Puma"", ""specs"": ""Response major away per wish significant."", ""ratings"": 3.6}","{""segment"": ""Premium"", ""demographics"": ""Young"", ""preferences"": ""In-store""}"
TXN_000014,North America,USA,Sports,Erin Warner,Brad Rodriguez,08-07-2021,29-01-2025 09:43,5,58.41,292.05,Pending,Cash,"{""category"": ""Sports"", ""subcategory"": ""Fitness"", ""brand"": ""Decathlon"", ""specs"": ""Live wife green street and."", ""ratings"": 1.4}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000313,Asia,India,Clothing,Rebecca Frost,Gerald Wright,16-12-2023,27-02-2025 09:21, ,1220.91,8546.37,Completed,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Nike"", ""specs"": ""Create nearly property order similar least at."", ""ratings"": 4.1}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""In-store""}"
TXN_000015,Asia,Singapore,Clothing,Douglas Miller,Jessica Hill,14-10-2020,16-06-2025 03:28,6,1655.29,9931.74,Pending,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Women"", ""brand"": ""Nike"", ""specs"": ""Perhaps moment pretty memory but suffer."", ""ratings"": 4.7}","{""segment"": ""Premium"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000017,South America,Chile,Electronics,Tracy Morse,  Michele Green  ,24-07-2020,28-01-2025 22:48,2,1597.94,3195.88,Cancelled,PayPal,"{""category"": ""Electronics"", ""subcategory"": ""Mobiles"", ""brand"": ""Dell"", ""specs"": ""Four kitchen number edge challenge require nice."", ""ratings"": 4.0}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000018,North America,Mexico,Sports,Olivia Grimes,Troy Nguyen,09-08-2025,17-01-2025 00:56,9,1853.8,16684.2,Cancelled,Cash,"{""category"": ""Sports"", ""subcategory"": ""Outdoor"", ""brand"": ""Under Armour"", ""specs"": ""Detail history drug simply."", ""ratings"": 3.8}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Hybrid""}"
TXN_000019,South America,Chile,Home & Garden,Jose Bailey,Lauren Fritz,24-08-2020,08-05-2025 03:45,—,₹1664.84,11653.88,Cancelled,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""Wayfair"", ""specs"": ""Political career second attorney eye wait."", ""ratings"": 1.8}","{""segment"": ""Premium"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000020,Europe,Germany,Electronics,Dr. Timothy Morgan,John Woodard,16-04-2024,27-01-2025 09:11,,1113.05,11130.5,Completed,PayPal,"{""category"": ""Electronics"", ""subcategory"": ""Mobiles"", ""brand"": ""Dell"", ""specs"": ""Player customer standard follow."", ""ratings"": 5.0}","{""segment"": ""Budget"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000021,Asia,China,Clothing,Jennifer Harris,Amanda Norris,04-02-2021,28-02-2025 16:40,10,588.08,5880.8,Returned,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Nike"", ""specs"": ""Speak century budget these record."", ""ratings"": 2.3}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000022,North America,USA,Clothing,Nancy Webster,Tabitha Mueller,10-01-2022,11-08-2025 23:49,5,1686.65,8433.25,Pending,PayPal,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Puma"", ""specs"": ""Role design quite enjoy rate community relationship four."", ""ratings"": 2.2}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000023,Europe,UK,Sports,Hunter Parker,William Kaufman,08-02-2023,25-03-2025 12:57,10,,16231.1,Returned,Debit Card,"{""category"": ""Sports"", ""subcategory"": ""Fitness"", ""brand"": ""Under Armour"", ""specs"": ""Soon fine anyone draw."", ""ratings"": 4.2}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000024,Africa,South Africa,Clothing,,Alisha Moore,,17-02-2025 03:03,5,1083.78,5418.9,Cancelled,Credit Card,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Nike"", ""specs"": ""Real continue himself."", ""ratings"": 5.0}","{""segment"": ""Budget"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000025,North America,Canada,Home & Garden,  Molly Moreno  ,Thomas Long,14-05-2021,16-01-2025 01:18,8,653.36,5226.88,Returned,PayPal,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""Wayfair"", ""specs"": ""Product chance vote perhaps."", ""ratings"": 4.5}","{""segment"": ""Premium"", ""demographics"": ""Young"", ""preferences"": ""In-store""}"
TXN_000026,Asia,China,Clothing,Michael Flynn,Candice Lane,19-05-2020,22-02-2025 17:39,2,936.25,1872.5,Pending,Cash,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Puma"", ""specs"": ""Today lot question myself share off."", ""ratings"": 2.7}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""In-store""}"
TXN_000027,North America,Mexico,Clothing,Danielle Johnson,Jessica Davies,27-03-2025,27-05-2025 16:19,4,1492.81,5971.24,Returned,Credit Card,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Nike"", ""specs"": ""Pretty hot between simply do themselves member."", ""ratings"": 1.4}","{""segment"": ""Premium"", ""demographics"": ""Senior"", ""preferences"": ""In-store""}"
TXN_000028,Asia,Singapore,Electronics,Richard Kidd,Shannon Leach,19-05-2020,22-02-2025 13:49,4,986.41,3945.64,Cancelled,Cash,"{""category"": ""Electronics"", ""subcategory"": ""Mobiles"", ""brand"": ""HP"", ""specs"": ""Check area ok face machine author picture."", ""ratings"": 2.6}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000029,Africa,Egypt,Home & Garden,Angela Reynolds,Maria Larson,06-06-2025,09-03-2025 06:22,9,1652.94,14876.46,Returned,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Kitchen"", ""brand"": ""IKEA"", ""specs"": ""Use then capital poor see provide blue."", ""ratings"": 4.1}","{""segment"": ""Standard"", ""demographics"": ""Middle-aged"", ""preferences"": ""In-store""}"
TXN_000030,Asia,Japan,Electronics,Terry Hansen,Michael Long,28-05-2025,11-06-2025 04:51,6,192.09,1152.54,Completed,Credit Card,"{""category"": ""Electronics"", ""subcategory"": ""Accessories"", ""brand"": ""Dell"", ""specs"": ""Stock address country fall street wonder group finish."", ""ratings"": 3.8}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000031,Africa,Egypt,Electronics,  Laura Mcfarland  ,Angelica Howell,15-03-2023,04-02-2025 07:02,2,621.51,1243.02,Returned,Credit Card,"{""category"": ""Electronics"", ""subcategory"": ""Mobiles"", ""brand"": ""Dell"", ""specs"": ""Military today business have machine foot clearly carry."", ""ratings"": 3.5}","{""segment"": ""Budget"", ""demographics"": ""Senior"", ""preferences"": ""In-store""}"
TXN_000032,Europe,France,Sports,Jeremiah Pierce,Robert Myers,03-05-2021,22-05-2025 10:32,6,59.2,355.2,Completed,Credit Card,"{""category"": ""Sports"", ""subcategory"": ""Indoor"", ""brand"": ""Reebok"", ""specs"": ""Again money draw training true success image concern."", ""ratings"": 3.5}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000033,South America,Brazil,Sports,Sally Buchanan DDS,Miranda Jackson,28-03-2023,16-05-2025 15:15,3,1574.43,4723.29,Pending,PayPal,"{""category"": ""Sports"", ""subcategory"": ""Fitness"", ""brand"": ""Decathlon"", ""specs"": ""Bar family allow then."", ""ratings"": 2.4}","{""segment"": ""Premium"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000034,Europe,Italy,Clothing,Jennifer Ramirez,Kelly Mills,19-03-2024,07-04-2025 12:46,1,854.61,854.61,Returned,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Puma"", ""specs"": ""Prove let power face morning later project."", ""ratings"": 3.4}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000035,Africa,Nigeria,Clothing,Meredith Garcia,James Herrera,08-04-2025,04-04-2025 12:01,1,1984.89,1984.89,Pending,Credit Card,"{""category"": ""Clothing"", ""subcategory"": ""Women"", ""brand"": ""Puma"", ""specs"": ""View suddenly meeting continue."", ""ratings"": 4.6}","{""segment"": ""Standard"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000036,Asia,UAE,Clothing,Mary Ramos,Mason Tyler,31-07-2022,10-03-2025 12:45,2,975.99,1951.98,Returned,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Nike"", ""specs"": ""Young impact speech decision consumer win her."", ""ratings"": 3.1}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""In-store""}"
TXN_000037,South America,Chile,Electronics,Jason Mendoza,Larry Massey,04-03-2021,01-02-2025 12:39,9,728.91,6560.19,Returned,PayPal,NULL,"{""segment"": ""Budget"", ""demographics"": ""Senior"", ""preferences"": ""Hybrid""}"
TXN_000038,Europe,Spain,Electronics,Dawn Murphy,Matthew Olson,01-05-2020,22-02-2025 09:46,5,665.44,3327.2,Cancelled,Cash,"{""category"": ""Electronics"", ""subcategory"": ""Accessories"", ""brand"": ""Samsung"", ""specs"": ""Pretty concern plant other short leg."", ""ratings"": 3.8}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000039,South America,Argentina,Electronics,Adam Holmes,William Brown,24-03-2025,12-02-2025 20:35,7,482.56,3377.92,Completed,Cash,"{""category"": ""Electronics"", ""subcategory"": ""Accessories"", ""brand"": ""Apple"", ""specs"": ""Ago agent yet capital."", ""ratings"": 1.0}","{""segment"": ""Standard"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000040,South America,Brazil,Clothing,Elizabeth Shepherd,Sara Williams DDS,05-06-2024,14-04-2025 09:30,4,483.08,1932.32,Cancelled,Cash,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Nike"", ""specs"": ""May rock whose long easy."", ""ratings"": 4.6}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000313,Europe,Spain,Sports,Lauren Nguyen,Ronald Romero,03-03-2020,28-02-2025 00:52,10,291.69,2916.9,Cancelled,Credit Card,"{""category"": ""Sports"", ""subcategory"": ""Outdoor"", ""brand"": ""Under Armour"", ""specs"": ""Surface smile agent add discussion instead."", ""ratings"": 3.0}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000042,Asia,Singapore,Electronics,Mr. Michael Franklin,  Amanda Thornton  ,27-07-2022,10-08-2025 05:59,10,1756.61,17566.1,Cancelled,PayPal,"{""category"": ""Electronics"", ""subcategory"": ""Laptops"", ""brand"": ""HP"", ""specs"": ""Message evening rest table husband charge."", ""ratings"": 3.1}","{""segment"": ""Standard"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000043,Asia,Singapore,Clothing,Lisa Phillips,Katrina Long,17-07-2021,04-06-2025 14:42,7,879.92,6159.44,Returned,Cash,"{""category"": ""Clothing"", ""subcategory"": ""Women"", ""brand"": ""Nike"", ""specs"": ""Level power yeah son century."", ""ratings"": 2.5}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000044,Asia,Japan,Home & Garden,Mrs. Whitney Thompson,Brenda Jones,18-08-2023,11-05-2025 15:50,,930.71,3722.84,Cancelled,PayPal,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""IKEA"", ""specs"": ""Our lay down easy tough someone thank."", ""ratings"": 2.6}","{""segment"": ""Budget"", ""demographics"": ""Senior"", ""preferences"": ""Hybrid""}"
TXN_000045,Europe,Italy,Sports,  Kylie Anderson  ,Brian Austin,19-06-2022,20-06-2025 19:33,7,535.02,3745.14,Returned,PayPal,"{""category"": ""Sports"", ""subcategory"": ""Indoor"", ""brand"": ""Reebok"", ""specs"": ""Two piece source fear blue dog."", ""ratings"": 2.2}","{""segment"": ""Budget"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000046,North America,USA,Home & Garden,  Gary Rogers  ,Brendan David,31-02-2024,15-08-2025 00:52,4,429.27,1717.08,Returned,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""Wayfair"", ""specs"": ""Message commercial cold should."", ""ratings"": 1.9}","{""segment"": ""Budget"", ""demographics"": ""Senior"", ""preferences"": ""Hybrid""}"
TXN_000047,Europe,Italy,Electronics,Samantha Harvey,Margaret Bridges,10-01-2020,08-07-2025 15:16,—,1459.49,8756.94,Returned,Cash,"{""category"": ""Electronics"", ""subcategory"": ""Laptops"", ""brand"": ""Dell"", ""specs"": ""Right month pull drive behind choose firm."", ""ratings"": 4.8}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Hybrid""}"
TXN_000048,South America,Brazil,Sports,Courtney Smith,Gregory Keller,29-07-2020,05-04-2025 10:55,1,1241.37,1241.37,Cancelled,Credit Card,"{""category"": ""Sports"", ""subcategory"": ""Fitness"", ""brand"": ""Under Armour"", ""specs"": ""Little decade rise along pattern."", ""ratings"": 4.2}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
,,,,,,,,,,,,,,
TXN_000050,North America,USA,Home & Garden,Cory Smith,Jodi Gonzales,26-03-2023,02-03-2025 08:53,3,966.24,2898.72,Returned,Cash,"{""category"": ""Home & Garden"", ""subcategory"": ""Kitchen"", ""brand"": ""Home Depot"", ""specs"": ""Sense state relationship."", ""ratings"": 3.9}","{""segment"": ""Budget"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000051,South America,Brazil,Sports,Michael Hale,Justin Perez,21-10-2021,07-02-2025 20:13,7,1249.09,8743.63,Returned,Debit Card,"{""category"": ""Sports"", ""subcategory"": ""Outdoor"", ""brand"": ""Under Armour"", ""specs"": ""Recent statement usually."", ""ratings"": 3.5}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""In-store""}"
TXN_000052,South America,Brazil,Electronics,Jeremy Christensen,Pamela Gardner,24-12-2023,17-04-2025 04:53,2,1775.18,3550.36,Cancelled,PayPal,"{""category"": ""Electronics"", ""subcategory"": ""Laptops"", ""brand"": ""HP"", ""specs"": ""International make environment third company single."", ""ratings"": 2.5}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000053,Africa,Nigeria,Home & Garden,Gene Butler,Jessica Wilson,28-04-2021,25-07-2025 14:05,4,899.18,3596.72,Returned,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Decor"", ""brand"": ""IKEA"", ""specs"": ""Anything four entire professor."", ""ratings"": 3.5}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Hybrid""}"
TXN_000054,North America,Canada,Electronics,Diana Smith,Logan Moore,20-09-2020,22-06-2025 16:01,6,65.69,394.14,Returned,PayPal,"{""category"": ""Electronics"", ""subcategory"": ""Laptops"", ""brand"": ""HP"", ""specs"": ""Other night remain eight music high sit society."", ""ratings"": 1.5}","{""segment"": ""Premium"", ""demographics"": ""Senior"", ""preferences"": ""In-store""}"
TXN_000313,North America,USA,Sports,Chelsea Jackson,Gabrielle Smith,12-09-2021,22-04-2025 12:30,1,320.75,320.75,Pending,Debit Card,"{""category"": ""Sports"", ""subcategory"": ""Indoor"", ""brand"": ""Reebok"", ""specs"": ""Others size yeah camera."", ""ratings"": 1.2}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Hybrid""}"
TXN_000056,Asia,Japan,Home & Garden,Kerri Cook,  Mary Ramsey  ,2025-99-99,12-03-2025 10:27,8,959.04,7672.32,Returned,Credit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Kitchen"", ""brand"": ""IKEA"", ""specs"": ""Best keep particular billion fire owner land serious."", ""ratings"": 4.9}","{""segment"": ""Budget"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000057,Asia,India,Home & Garden,Jennifer Baker,Joshua Smith,03-03-2023,26-01-2025 07:33,2,878.44,1756.88,Returned,Cash,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""Home Depot"", ""specs"": ""War picture window price record age able common."", ""ratings"": 1.0}","{""segment"": ""Budget"", ""demographics"": ""Senior"", ""preferences"": ""Hybrid""}"
TXN_000058,South America,Argentina,Electronics,Christopher Villarreal,Jeffrey Forbes,29-12-2020,30-04-2025 01:00,9,45.2,406.8,Pending,Cash,"{""category"": ""Electronics"", ""subcategory"": ""Accessories"", ""brand"": ""Apple"", ""specs"": ""Worry measure through run local public."", ""ratings"": 2.2}","{""segment"": ""Standard"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000059,South America,Argentina,Home & Garden,Christina Henderson,Emily Rodriguez,03-02-2023,30-01-2025 20:13,5,800.31,4001.55,Completed,PayPal,"{""category"": ""Home & Garden"", ""subcategory"": ""Decor"", ""brand"": ""IKEA"", ""specs"": ""Mrs hospital month move short pass."", ""ratings"": 4.3}","{""segment"": ""Premium"", ""demographics"": ""Senior"", ""preferences"": ""Hybrid""}"
TXN_000060,South America,Brazil,Clothing,Robert Colon,Johnathan Reed,23-07-2020,08-06-2025 17:41,3,1685.1,5055.3,Returned,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Puma"", ""specs"": ""With start skin."", ""ratings"": 2.3}","{""segment"": ""Premium"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000061,North America,Canada,Home & Garden,Jason Goodman,Joseph Fry,28-02-2021,18-01-2025 06:13,6,801.73,4810.38,Pending,Credit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""IKEA"", ""specs"": ""Face more century visit project."", ""ratings"": 3.6}","{""segment"": ""Standard"", ""demographics"": ""Young"", ""preferences"": ""Online""}"
TXN_000061,North America,Canada,Sports,Michael Ryan,Emily Mcintosh,03-11-2021,26-02-2025 10:20,6,593.33,3559.98,Returned,Cash,"{""category"": ""Sports"", ""subcategory"": ""Indoor"", ""brand"": ""Reebok"", ""specs"": ""Product almost parent hotel effect."", ""ratings"": 2.5}","{""segment"": ""Standard"", ""demographics"": ""Middle-aged"", ""preferences"": ""In-store""}"
TXN_000061,North America,USA,Home & Garden,Kelly Mckenzie,Nancy Johnson,24-01-2022,29-04-2025 04:30,7,1908.83,13361.81,Cancelled,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Decor"", ""brand"": ""Home Depot"", ""specs"": ""Fill often business doctor."", ""ratings"": 2.5}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000064,Europe,Germany,Clothing,Nichole Guerra,Ryan Johnson,28-11-2022,06-04-2025 15:49,2,157.03,314.06,Completed,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Adidas"", ""specs"": ""Dinner join however style news win."", ""ratings"": 4.6}","{""segment"": ""Standard"", ""demographics"": ""Young"", ""preferences"": ""Hybrid""}"
TXN_000065,South America,Chile,Sports,Ethan Andrade,Pam Turner,13-03-2025,,4,530,2120,Returned,PayPal,"{""category"": ""Sports"", ""subcategory"": ""Indoor"", ""brand"": ""Under Armour"", ""specs"": ""Call scientist agency return possible four."", ""ratings"": 1.8}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000066,Africa,Egypt,Clothing,Rebecca Cooper,Shirley Woodard,19-05-2024,04-04-2025 14:43,5,199.72,998.6,Completed,Cash,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Nike"", ""specs"": ""Thing challenge tonight name wall."", ""ratings"": 4.5}","{""segment"": ""Budget"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000313,South America,Brazil,Home & Garden,Antonio Morgan,Lisa Flores,26-05-2023,23-01-2025 17:51,2,1558.93,3117.86,Pending,PayPal,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""Home Depot"", ""specs"": ""Necessary director direction man table role why."", ""ratings"": 2.1}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000068,Africa,South Africa,Sports,Miss Elizabeth Williams,Cathy Barker,08-05-2025,19-01-2025 15:40,5,1539.98,7699.9,Returned,Credit Card,"{""category"": ""Sports"", ""subcategory"": ""Indoor"", ""brand"": ""Decathlon"", ""specs"": ""Half listen prove itself inside."", ""ratings"": 2.4}","{""segment"": ""Budget"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000069,Africa,Nigeria,Home & Garden,Jamie Flores,Christopher Carr,09-06-2022,23-03-2025 06:40,9,1284.57,11561.13,Pending,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Kitchen"", ""brand"": ""Home Depot"", ""specs"": ""Yard thus really off increase cost common."", ""ratings"": 4.4}","{""segment"": ""Standard"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000070,Africa,South Africa,Clothing,Ann Parker,Warren Mcdonald,09-02-2021,01-01-2025 21:10,9,1603.32,14429.88,Pending,PayPal,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Adidas"", ""specs"": ""South west director machine land develop fine."", ""ratings"": 3.4}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""In-store""}"
TXN_000313,Europe,Spain,Home & Garden,Angela Rhodes,Pamela Walsh,07-08-2025,28-05-2025 02:12,2,261.56,523.12,Completed,Credit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Furniture"", ""brand"": ""IKEA"", ""specs"": ""Trade five relate hour heavy if teacher."", ""ratings"": 2.9}","{""segment"": ""Budget"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000072,South America,Chile,Sports,Elizabeth Chapman,Matthew Hogan,28-07-2025,22-07-2025 00:45,3,72.84,218.52,Cancelled,Debit Card,"{""category"": ""Sports"", ""subcategory"": ""Outdoor"", ""brand"": ""Reebok"", ""specs"": ""Job car whether hundred run."", ""ratings"": 4.6}","{""segment"": ""Premium"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
